QA_ID,법률분류,질문,답변,출처유형
QA_0011,개인회생>개시결정및채권자이의등>채권자이의및채권자집회>Ⅰ.개인회생채권자이의,개인회생채권자인데 변제계획안에 대한 이의신청을 하려는 경우 어떻게 해야 하나요?,채권자는 개인회생채권자집회에서 변제계획에 관해 이의를 진술할 수 있습니다.(채무자 회생 및 파산에 관한 법률 제613조제5항)그리고 이의진술은 개인회생채권자가 개인회생채권자집회기일의 종료 시까지 이의진술서를 법원에 제출하는 방식으로 갈음할 수 있습니다.그러나 개인회생절차에서는 개인회생채권자의 동의를 요하지 않으므로 개인회생채권자의 이의가 있더라도 변제계획안이 인가의 요건을 갖추고 있는 경우 법원은 변제계획안을 인가 할 수 있습니다.변제계획안에 대한 이의신청서를 법원에 제출 시 별도 인지 등 비용은 발생하지 않으나 법무사나 변호사에게 이의신청서작성을 의뢰하는 경우 별도 서기료(서류작성비용 등)가 발생할 수 있습니다.,기본질문답변
QA_0012,개인회생>개시결정및채권자이의등>채권자이의및채권자집회>Ⅰ.개인회생채권자이의,"채무자가 돈을 차용한지 얼마 지나지 않아서 개인회생신청을 법원에 하였으며, 주변에 알아본 결과 고의로 채무를 면탈할 목적으로 개인회생신청을 한 것으로 보입니다. 현재 법원에서 채권자집회 기일통지를 받았습니다. 제가 어떤식으로 대처해야 할까요?","개인회생채권자집회는 어떤 결의를 하는 집회가 아니고, 채무자가 변제계획안에 대한 설명을 하고 개인회생채권자 또는 회생위원이 그에 대한 이의 여부를 진술하는 집회로서, 변제계획안의 인가 여부를 간이ㆍ신속하게 결정하기 위하여 마련된 절차입니다.개인회생채권자집회는 법원이 지휘하고, 다만 회생위원이 선임되어 있는 때에는 법원은 회생위원으로 하여금 진행할 수 있습니다.개인회생채권자는 개인회생채권자집회에 출석하여 채무자가 제출한 변제계획안에 관하여 채무자로부터 직접 설명을 듣고, 변제계획안에 대하여 이의를 진술하는 방법으로 의견을 표명할 수 있고, 개인회생채권자집회기일 종료시까지 이의 진술서를 법원에 제출하는 방식으로 집회에서의 이의진술에 갈음할 수 있습니다. 채무자는 개인회생채권자집회에 출석하여 개인회생채권자의 요구가 있는 경우 변제계획안에 관하여 필요한 설명을 하여야 합니다. 채무자가 정당한 사유 없이 개인회생채권자집회에 출석 또는 설명을 하지 않거나 허위의 설명을 한 경우 법원은 개인회생절차폐지결정을 할 수 있습니다.",기본질문답변
QA_0013,개인회생>개시결정및채권자이의등>채권자이의및채권자집회>Ⅱ.개인회생채권자집회,개인회생채권자집회는 어떤 기능을 하나요?,"○ 개인회생채권자집회는 어떤 결의를 하는 집회가 아니고, 채무자가 변제계획안에 대한 설명을 하고 개인회생채권자 또는 회생위원이 그에 대한 이의 여부를 진술하는 집회로서, 변제계획안의 인가 여부를 간이·신속하게 결정하기 위하여 마련된 절차입니다. ○ 개인회생채권자집회는 법원이 지휘하고, 다만 회생위원이 선임되어 있는 때에는 법원은 회생위원으로 하여금 진행할 수 있습니다. ○ 채무자는 개인회생채권자집회에 출석하여 개인회생채권자의 요구가 있는 경우 변제계획안에 관하여 필요한 설명을 하여야 합니다. 채무자가 정당한 사유 없이 개인회생채권자집회에 출석 또는 설명을 하지 않거나 허위의 설명을 한 경우 법원은 개인회생절차폐지결정을 할 수 있습니다. ○ 개인회생채권자는 개인회생채권자집회에 출석하여 채무자가 제출한 변제계획안에 관하여 채무자로부터 직접 설명을 듣고, 변제계획안에 대하여 이의를 진술하는 방법으로 의견을 표명할 수 있고, 개인회생채권자집회기일 종료시까지 이의 진술서를 법원에 제출하는 방식으로 집회에서의 이의진술에 갈음할 수 있습니다. ○ 회생위원은 개인회생채권자집회를 마친 후 2주 이내에 집회에서 이의가 있었는지 여부와 이의의 내용, 이의가 있는 경우 변제계획안이 인가요건을 충족하였는지 여부에 관한 의견 등을 기재한 보고서를 법원에 제출하여야 하고, 법원은 이를 토대로 변제계획안의 인가 여부를 결정하게 됩니다.",기본질문답변
QA_0014,개인회생>개시결정및채권자이의등>채권자이의및채권자집회>Ⅱ.개인회생채권자집회,개인회생채권자집회의 채무자 출석의무,"채권자집회기일에 채무자 대신 대리인이 출석할 수 있는지에 관하여, 채무자는 개인회생채권자집회에 출석하여 개인회생채권자의 요구가 있는 경우 변제계획에 관하여 필요한 설명을 하여야 하고, 법원 빛 개인회생채권자에게 본인이 제출한 변제계획을 수행할 의지 및 수행능력이 있음을 보여야 한다는 점에서 본인이 직접 출석하여야 할 것입니다.",기본질문답변
QA_0015,개인회생>개인회생기타>개인회생기타,1.개인회생시 채권자들이 배우자 명의의 재산에 강제집행 하나요?2.이혼하고 개인회생 신청하면 불리한가요?,"우리 민법상 부부별산제가 원칙이므로 본인의 채무로 배우자 명의의 재산(부동산, 예금 등)에 대하여 채권자들이 강제집행을 할 수 없습니다.(단, 배우자가 본인 채무의 보증인인 경우, 부부공동생활을 위하여 부담한 채무(일상가사채무)의 경우 채권자들이 강제집행 가능함).다만, 유체동산(TV, 세탁기, 냉장고 등)의 경우 함께 사용하고 있으므로 공동재산으로 보아 채권자들이 유체동산경매신청을 할 수 있습니다.그러나 고의적으로 채무를 피하기 위해 이혼한 것이라면 개인회생절차 진행시 문제가 될 수 있습니다.개인회생 직전에 이혼을 한 경우에는 법원은 사기회생죄에 해당하는지를 엄격히 심사합니다. 만일 이혼 직전 재산이 이혼하려는 배우자에게 넘어간 사실이 확인된다면 개인회생 신청 자체를 기각할 수도 있습니다. ※사기회생죄(채무자 회생 및 파산에 관한 법률 제643조 제3항) : 채무자가 자기 또는 타인의 이익을 도모하거나 채권자를 해할 목적으로 다음 각호의 어느 하나에 해당하는 행위를 하고, 채무자에 대하여 개인회생절차개시의 결정이 확정된 때에는 5년 이하의 징역 또는 5천만원 이하의 벌금에 처한다. 1.재산을 은닉 또는 손괴하거나 채권자에게 불이익하게 처분하는 행위 2.허위로 부담을 증가시키는 행위또한 고의적으로 재산을 배우자에게 넘기고 이혼하여 채무를 면탈하려고 한 경우 강제집행면탈죄로 형사처벌을 받을 수도 있습니다.※강제집행면탈죄(형법 제327조) : 강제집행을 면할 목적으로 재산을 은닉, 손괴, 허위 양도 또는 허위의 채무를 부담하여 채권자를 해한 자는 3년 이하의 징역 또는 1천만 원 이하의 벌금에 처한다.",기본질문답변
QA_0016,개인회생>개인회생기타>개인회생기타,"개인채무자회생법상 벌칙은?""","개인채무자회생법상 벌칙으로 사기개인회생죄, 보고등거절죄가 있다.우선 사기개인회생죄는 채무자가 자기 또는 타인의 이익을 도모하거나 채권자를 해할 목적으로 재산을 은닉 또는 손괴하거나 채권자에게 불이익하게 처분하는 행위를 한 경우 또는 같은 목적으로 허위로 부담을 증가시키는 행위를 한 경우인바, 이 경우 그 채무자에 대하여 개인회생절차개시의 결정이 확정된 때에는 5년 이하의 징역 또는 5천만 원 이하의 벌금에 처하게 된다.다음으로 채무자가 법원 또는 회생위원으로부터 금전의 수입과 지출 또는 그 밖의 재산상태에 관한 보고요구를 받고도 이를 거절하거나 허위의 보고를 하는 행위, 그리고 법원 또는 회생위원이 필요하다고 판단하여 재산상황을 조사하는 것을 거부하는 행위와 시정요구를 거절하는 행위를 하는 경우 보고등거절죄에 해당하여 1년 이하의 징역형 또는 1천만 원 이하의 벌금형에 처하게 된다. ",기본질문답변
QA_0017,개인회생>개인회생기타>개인회생기타,개인회생 시 배우자 재산이나 소득도 변제에 투입해야 하나요?,상대방 배우자 일방의 재산으로 인정되는 재산은 개인회생채무변제에 투입되지 않습니다. 배우자가 본인의 채무에 보증 등을 하지 않은 경우 본인의 채무는 본인만 부담하고 배우자에게 전가되지 않는 것이 원칙입니다. 다만 일정 재산이 부부간의 공동재산형성으로 인정되면 그 재산의 절반 정도를 개인회생채무변제에 투입해야 하는 경우도 있습니다.(채무보다 재산분할의 가치가 훨씬 클 때의 경우 등),기본질문답변
QA_0018,개인회생>개인회생기타>개인회생기타,개인회생 중인 임대인이 신규임차인과 임대차계약을 체결해도 문제가 없을까요?,다른 도산제도와 달리 개인회생은 채무자가 그의 재산에 관하여 관리처분권을 갖고 있습니다. 개인회생변제계획상 별도 제한 사항이 없다면 신규 임대차계약을 체결을 할 수 있을 것으로 보입니다.,기본질문답변
QA_0019,개인회생>개인회생기타>개인회생기타,개인회생과 채권자취소소송의 관계를 알고 싶습니다.개인회생신청 후 채권자취소소송이 제기되면 어떻게 되나요?채권자취소소송이 제기된 후에도 개인회생을 신청할 수 있나요?,"1.채권자취소소송의 의의채권자취소소송은 채무자의 재산을 감소시키는 등 채권자에게 해가 되는 채무자의 행위에 대하여 이를 취소하고 원래의 상태로 회복시키기 위하여 제기하는 소송입니다. 개인회생절차와 관련하여 실무상 주로 문제가 되는 것은 개인회생 신청 전에 채무자가 재산을 염가에 매각하거나, 상속재산협의분할을 하면서 채무자가 자신의 상속분을 포기한 경우 등입니다. 2.개인회생절차 개시결정 후 채권자취소소송 제기개인회생절차 개시결정이 내려진 후에는 채권자는 채권자취소소송을 제기할 수 없습니다. 오직 채무자만이 부인권을 행사할 수 있을 뿐입니다. 다만 법원은 채무자에게 부인권 행사를 명할 수 있으므로 채권자는 부인권 행사명령의 발동을 법원에 촉구할 수 있습니다. 그리고 이 명령에 따라 채무자가 부인의 소를 제기한다면 채권자는 그 소송에 보조참가할 수도 있습니다. 부인권행사 외에 법원은 부인권 행사요건이 인정될 경우 변제계획안 수정명령을 통하여 원상회복될 재산 또는 이를 포함한 총재산의 청산가치 이상을 변제에 투입하도록 할 수도 있습니다.(대법원 2010.11.30.자 2010마1179 결정 등)3.개인회생절차 개시결정 당시 채권자취소소송이 계속 중인 경우이 경우 채권자취소소송은 중단되고 채무자가 중단된 그 소송을 수계하여 부인의 소로 청구취지를 변경할 수 있습니다. 수계가 이루어지지 않은 채 채권자취소소송에 대한 판결이 선고된다면 상소나 재심으로 다툴 수 있습니다. 채권자취소소송이 계속 중이어도 개인회생신청은 가능합니다. 이 경우 법원은 부인대상행위(사해행위)의 경위를 심사한 후, 부인권 행사, 청산가치 추가 또는 이에 따른 변제계획안 수정 등을 명할 수 있습니다. ",기본질문답변
QA_0020,개인회생>개인회생기타>개인회생기타,개인회생신청 전 이미 변제한 금액이 개인회생에서 변제금액으로 인정될 수 있나요?,채권을 갚아 왔다고 하더라도 부채증명서(또는 채무확인서) 발급일 기준 원금과 이자를 기준으로 채권자목록을 작성하여 개인회생신청을 하게 되므로 갚아 온 금액은 변제금액으로 인정될 수 없습니다. ,기본질문답변
QA_0021,개인회생>개인회생기타>개인회생기타,개인회생신청 취하관련 문의드립니다.,"개인회생신청 채무자는 개인회생절차의 개시결정이 있기 전에는 신청을 취하할 수 있습니다.(채무자 회생 및 파산에 관한 법률 제594조 본문)다만, 채무자가 보전처분이나 중지명령을 받은 후에는 법원의 허가를 받아야 신청을 취하할 수 있습니다.(채무자 회생 및 파산에 관한 법률 제594조 단서)",기본질문답변
QA_0022,개인회생>개인회생기타>개인회생기타,개인회생신청을 할 경우에도 불이익이 있는지,개인회생의 경우에는 파산에서와 같은 법률상의 불이익은 존재하지 않는다고 볼 수 있습니다.,기본질문답변
QA_0023,개인회생>개인회생기타>개인회생기타,개인회생은 반드시 변호사나 법무사가 대리해서 신청해야 하나요?,"헌법소원을 제외한 모든 법원에의 신청에는 반드시 변호사나 법무사의 대리가 강제되지는 않습니다. 또한 개인회생사건의 대부분은 채무자가 직접 법원의 양식을 이용하여 신청하고 있는 실정입니다. 다만 신청서 작성에 있어서 어려운 법률용어가 있거나, 변제계획안을 작성하는데 어려움이 있어 변호사나 법무사의 도움을 받을 수는 있을 것입니다. 또한 법원은 개인이 신청한 개인회생사건과 변호사가 대리한 개인회생사건을 차별적으로 취급하고 있지도 않습니다. 특히 개인회생사건을 변호사가 대리한 경우에도 개인회생위원과의 면담기일은 변호사가 아닌 채무자가 직접 출석해야 합니다.   대한법률구조공단은 전국 지방법원 및 지원에 대응하여 지부 및 출장소를 설치하여 국민들의 법률상담, 법률구조를 제공하고 있으며, 특히 파산 및 개인회생제도 이용의 편의를 위해 인터넷을 통해 작성할 수 있도록 홈페이지(www.klac.or.kr/resu/)를 운영하고 있습니다. 신청서 작성이나 제출시 의문점은 대한법률구조공단 지부·출장소에 내방하여 상담하시거나 국번없이 132번으로 전화상담 할 수 있으며, 법률구조대상자의 경우 유료 또는 무료로 공단 소속 변호사 및 공익법무관이 파산 및 개인회생신청을 대리하고 있습니다. 신청서 자동작성 이용 등에 관한 자세한 설명은 아래 사이트 이용안내를 참고하시기 바랍니다.사이트 이용안내(<a href=""http://www.klac.or.kr/resu/help/BBS_view.php?p_seq=1&amp;p_page=1&amp;p_colum=&amp;p_search=)"">http://www.klac.or.kr/resu/help/BBS_view.php?p_seq=1&amp;p_page=1&amp;p_colum=&amp;p_search=)</a>",기본질문답변
QA_0024,개인회생>개인회생기타>개인회생기타,개인회생은 어떤 절차로 진행되나요?,"개인회생절차개시신청을 하면 우선 14일 이내 변제계획안을 제출해야 합니다. 그러나 변제계획안의 작성이 그리 간단하지는 않으므로 14일 이내 제출하지 못할 경우 절차의 진행이 지연될 염려가 있으므로 실무에서는 개시신청서와 동시에 제출하도록 하고 있습니다.    개시신청서와 변제계획안을 제출하면 개인회생위이 선임되어 면담기일을 지정받아 보정사항이 있는 경우 면담기일에 신청서 및 변제계획안의 보정을 권고받게 됩니다.    위 보정권고에 적법한 보정서를 제출하면 법원은 보통 개시신청일로부터 1개월 이내 개시결정을 하게 됩니다. 법원은 개시결정문과 함께 채권자 이의기간, 채권자 집회기일을 대법원 홈페이지 법원 공고란에 게시합니다. 개시결정이 있는 경우 채무자의 재산에 대하여 한 강제집행·가압류 등이 중지되고 장래 진행될 우려가 있는 강제집행 등이 금지됩니다.    개시신청서의 채권자목록은 해당 채권자에게 송달되며, 그 채권자목록의 기재에 잘못이 있다고 생각하는 채권자는 신청인 또는 다른 채권자를 상대방으로 하여 개인회생채권조사확정재판을 신청할 수 있고, 법원은 이해관계인을 심문하여 이의신청한 회생채권의 존부 및 내용을 정하게 됩니다. 채권자집회는 변제계획안에 대한 결정을 내리는 집회는 아니며, 신청인이 변제계획안에 대해 채권자들에게 설명하고 채권자들이 신청인의 변제계획안아 대한 이의 여부를 진술하는 집회입니다.    채권자집회를 거쳐 법원은 변제계획안이 적법하다고 판단될 경우 변제계획을 인가합니다. 변제계획이 인가된 이후 채무자는 변제계획을 수행해 나가야 하고 변제계획에서 정한 변제기간 동안 변제계획을 성실히 수행한 경우 잔존 채권에 대하여 따로 면책을 신청하여 법원의 면책결정을 받으면 채무자는 더 이상 더 이상 변제할 책임이 없게 됩니다.",기본질문답변
QA_0025,개인회생>개인회생기타>개인회생기타,개인회생을 신청하면 어떤 불이익이 있나요?,"개인파산의 경우 공무원, 변호사, 공증인, 교사, 부동산중개업자 등이 될 수 없거나, 그 직을 계속 수행할 수 없는 등의 공사법상의 제한과, 파산선고사실 또는 면책불허가 사실이 신원증명사항의 하나로서 각종 금융거래와 취직 등 일상생활의 면에서 여러 가지 사회적 평가상의 불이익을 받을 수 있으나, 개인회생에서는 파산과 같이 법률상 불이익을 규정한 바 없습니다. 따라서 개인회생을 신청하였다고 하여 법률상 특별한 불이익을 받게 되는 것은 아닙니다.   오히려 변제계획안이 인가되면 그 사실이 은행연합회에 통보되어, 은행연합회는 채무자에 대한 연체정보 등록(기존의 신용불량자제도는 2005. 4. 28.부터 폐지되고 연체정보로 관리하고 있음)을 해제하게 됩니다. 다만 은행연합회는 연체정보 등록을 해제하는 대신에 특수기록정보로 관리하게 되므로 개별 금융기관과의 거래에서 신용상의 불이익을 받을 가능성은 있습니다.",기본질문답변
QA_0026,개인회생>개인회생기타>개인회생기타,개인회생을 하면 가족이나 직장에 통지가 되나요? 혹시 가족에게 불이익이 있거나 직장에서 불이익을 받지는 않나요?,가족일반적으로 가족은 개인회생 사실을 알 수는 없습니다. 그러나 배우자의 경우(이혼한지 얼마되지 않은 배우자도 포함)는 배우자의 재산상황관련 서류들을 제출하여야 하기 때문에 배우자의 협조가 필요합니다.(배우자(전배우자)의 협조 없이 서류를 발급하기 위해서 법원을 통하여 사실조회를 고려하여 볼 수도 있음)개인회생을 하여도 가족들에게 불이익은 없습니다.직장개인회생하여도 법원에서 직장으로 통보하지 않습니다.다만 채권자 중에서 채무자의 급여에 압류를 신청하면 그 때는 직장에서 채무자의 부채과다를 알게 되는 경우가 있습니다.이 외에 개인회생제도 신청을 이유로 직장에서 불이익을 받는 것은 법률상(채무자회생및파산에관한법률 제32조의 2) 엄격히 금하고 있기 때문에 경제활동에 아무런 지장이 없으니 크게 걱정하지 않으셔도 됩니다.,기본질문답변
QA_0027,개인회생>개인회생기타>개인회생기타,개인회생절차에서 채무자의 법률위반으로 인한 형사처벌조항으로는 무엇이 있나요?,"○ 사기개인회생죄     채무자가 자기 또는 타인의 이익을 도모하거나 채권자를 해할 목적으로 다음 중 어느 하나에 해당하는 행위를 하고, 채무자에 대하여 개인회생절차개시결정이 확정된 때에는 5년 이하의 징역 또는 5천만원 이하의 벌금에 처해지게 됩니다.      (1) 재산을 은닉 또는 손괴하거나 채권자에게 불이익하게 처분하는 행위      (2) 허위로 부담을 증가시키는 행위 ○ 보고 등 거절의 죄     채무자가 정당한 사유 없이 법원 또는 회생위원으로부터 금전의 수입과 지출 그 밖에 재산상의 업무에 관한 보고요구를 받고도 이를 거부하거나 허위 보고를 하는 행위, 법원 또는 회생위원이 필요하다고 인정하여 재산상황을 조사하는 것을 거부하는 행위, 시정요구를 거부하는 행위를 한 경우에는 채무자는 1년 이하의 징역 또는 1천만원 이하의 벌금에 처해지게 됩니다.",기본질문답변
